銘柄名,銘柄コード,市場,弁済期限(いちにち),弁済期限(14日),弁済期限(無期限),売建可能数量[株],優待権利付き最終日,株主優待,特別空売り料[円],現在値[円],前日比[円],当日株価変動率[％],日中出来高増減率[％],ティック数,出来高[株],直近高値騰落率[％],貸借区分,逆日歩[円]
"高松コンストラクショングループ","1762","東証","-","-","○","20,200","03/26","有","0.00","2,180","-7","0.22 %","-","175","27,200","-2.72 %","貸借","0.00"
"東建コーポレーション","1766","東証","○","-","-","400","04/24","有","0.00","6,110","-100","-1.61 %","-","180","34,500","-5.41 %","貸借","0.00"
"ソネック","1768","東証","○","-","-","100","09/25","有","0.00","774","3","0.51 %","-","19","6,100","-1.65 %","貸借","0.05"
"藤田エンジ","1770","東証","○","-","-","100","-","無","1.90","807","2","0.24 %","-","7","1,100","0.00 %","信用","0.00"
"三井住建道路","1776","東証","○","-","-","0","-","無","0.70","734","3","0.41 %","-","6","900","-0.27 %","信用","0.00"
"ヤマウラ","1780","東証","○","-","-","100","03/26","有","0.00","837","-3","-0.71 %","-","45","7,200","-3.34 %","貸借","0.05"
"常磐開発","1782","東証","○","-","-","600","-","無","10.70","5,170","10","0.00 %","-","1","100","0.00 %","信用","0.00"
"アジアゲートＨＬＤＧＳ","1783","東証","○","-","-","1,500","09/25","有","0.40","64","1","1.58 %","-","13","26,500","0.00 %","信用","0.00"
"ナカボーテック","1787","東証","○","-","-","0","-","無","6.70","3,215","5","0.15 %","-","2","300","0.00 %","信用","0.00"
"三東工業社","1788","東証","○","-","-","0","06/25","有","3.90","2,495","73","-0.20 %","-","7","800","-0.20 %","信用","0.00"
"ＥＴＳホールディングス","1789","東証","○","-","-","1,500","09/25","有","0.00","784","-68","-7.65 %","-","736","198,400","-9.88 %","貸借","0.00"
"マサル","1795","東証","○","-","-","0","09/25","有","6.10","2,925","75","0.00 %","-","1","200","0.00 %","信用","0.00"
"第一建設工業","1799","東証","○","-","-","100","-","無","0.00","1,655","-2","-0.30 %","-","9","1,000","-2.70 %","貸借","0.00"
"大成建設","1801","東証","○","-","○","5,500","09/25","有","0.00","3,900","-45","-2.01 %","-","1,319","918,300","-3.10 %","貸借","0.00"
"大林組","1802","東証","○","-","○","19,000","-","無","0.00","1,052","-2","-1.40 %","-","1,973","1,947,600","-1.59 %","貸借","0.00"
"清水建設","1803","東証","○","-","○","23,000","03/26","有","0.00","897","-1","-3.13 %","-","3,557","4,767,900","-3.44 %","貸借","0.00"
"飛島建設","1805","東証","○","-","-","1,000","-","無","0.00","1,311","-18","-1.79 %","-","223","69,700","-2.01 %","貸借","0.00"
"長谷工コーポレーシヨン","1808","東証","○","-","○","17,700","09/25","有","0.00","1,089","-12","-1.00 %","-","1,500","1,104,600","-2.76 %","貸借","0.00"
